created_at,source,original_text,polarity,subjectivity,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,place,hashtags_in_tweets,screen_name
2021-06-18 18:00:41+00:00,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">hootsuite inc.</a>",#covid   may be new  but the covid    vaccines are built on trusted work that goes back decades     covid    vaccin  ,0.0681818181818181,0.2272727272727272,0,0,hamcohealth,7520,838,False,#covid19,"cincinnati, ohio",#covid, 
2021-06-18 18:00:41+00:00,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">hootsuite inc.</a>",i m officially #fullyvaccinated  vaccines are key to ending the pandemic  amp  getting back to all of our favourite peo  ,0.0,0.5,0,0,cta_gc,5106,282,False,#fullyvaccinated,canada,#fullyvaccinated, 
2021-06-18 18:00:49+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",that s great  but there are now  zero  appointments available within a   hour driving radius of winnipeg for anyone who can only get pfizer for shot      save pfizer for our kids  they don t have a choice between vaccines    kindrachukjason  souradets #mbpoli ,0.4000000000000001,0.7166666666666667,32,6,lauramc61832350,20,37,False, , ,#mbpoli,@jillian
2021-06-18 18:01:00+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",you can get a #covid   vaccine and other vaccines  including flu and shingles  at the same visit  you no longer need to wait    days between vaccines  side effects are the same if vaccines are given alone or together     more about vaccine timing   ,0.09375,0.28125,108,64,enterpenuerlist,64,230,False,#covid19, ,#covid,@cdc
2021-06-18 18:01:06+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",as of june   th  t amp t has administered         doses of a who approved #covid   vaccine  the country has approximately     of available stock remaining   in tobago  that number is lower at      june   th  with       sinopharm doses arriving on monday    ,0.0,0.5,48,18,trinimini05,640,198,False,#covid19,trinidad&tobago,#covid,@kalain hosein
2021-06-18 18:01:08+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",that s great  but there are now  zero  appointments available within a   hour driving radius of winnipeg for anyone who can only get pfizer for shot      save pfizer for our kids  they don t have a choice between vaccines    kindrachukjason  souradets #mbpoli ,0.4000000000000001,0.7166666666666667,33,7,bilasheidi,165,302,False, ,toronto on,#mbpoli,@jillian
2021-06-18 18:01:09+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",covid live  delta variant becoming globally dominant  who says as expert calls africa s case trajectory  very  very  ,0.1965909090909091,0.4125,0,0,1_henriques,93,626,False, , , , 
2021-06-18 18:01:20+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",please do your research first if you read or see something about vaccines or #covid   that sounds unusual   spreading disinfo means people won t get vaccinated out of fear   that will lead to more deaths   america s frontline doctors  not to be trusted    ,0.3166666666666666,0.611111111111111,12,7,iche_me,13303,12983,False,#covid19,"north carolina, usa",#covid,@🌪dr.clare md ❤️🧡💛💚💙💜
2021-06-18 18:01:26+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",    similar #deltavariant worries from a    hospital    outbreak even w    dose of mrna vaccines    patients  amp    hcws #deltavariant positive       patients  amp      hcws had received   doses of #covid   vaccine  a  x vaccinated    year old also died  ,0.109090909090909,0.3818181818181818,167,68,onesukij,84,88,False,#deltavariant,"zermatt, switzerland","#deltavariant, #deltavariant, #covid",@eric feigl-ding
2021-06-18 18:01:34+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",astrazeneca claims victory over eu in vaccine deliveries case  but will be fined for late supplies   the eu has lost its case against the ftse listed pharma over the supply of covid    vaccines   gt    #astrazeneca #covidvaccine #astrazenecavaccine #covid  ,-0.3,0.6,5,5,alleninvest,2242,4999,False, ,london,"#astrazeneca, #covidvaccine, #astrazenecavaccine, #covid",@city a.m.
2021-06-18 18:01:35+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",rt  dailysabah  israel to lend palestine   million doses of soon to expire #covid   vaccines ,0.0,0.0,5,6,wendyisenhart,367,2518,False,#covid19,bellingham,#covid,@daily sabah
